"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2023","18.919","18.649","18.919","18.919","295.93M","1.44%"
"06/10/2023","17.32","18.919","17.32","17.32","511.96M","-8.45%"
"06/11/2023","15.712","17.32","15.712","15.712","1409.01M","-9.28%"
"06/12/2023","15.552","15.712","15.552","15.552","495.44M","-1.02%"
"06/13/2023","15.219","15.552","15.219","15.219","431.33M","-2.14%"
"06/14/2023","14.996","15.219","14.996","14.996","403.34M","-1.47%"
"06/15/2023","14.512","14.996","14.512","14.512","327.31M","-3.23%"
"06/16/2023","14.742","14.512","14.742","14.742","371.93M","1.58%"
"06/17/2023","15.306","14.742","15.306","15.306","256.06M","3.83%"
"06/18/2023","15.626","15.306","15.626","15.626","218.01M","2.1%"
"06/19/2023","15.434","15.626","15.434","15.434","155.67M","-1.23%"
"06/20/2023","16.039","15.434","16.039","16.039","150.01M","3.92%"
"06/21/2023","16.625","16.039","16.625","16.625","248.75M","3.66%"
"06/22/2023","17.263","16.625","17.263","17.263","315.27M","3.84%"
"06/23/2023","16.645","17.263","16.645","16.645","295.51M","-3.58%"
"06/24/2023","17.101","16.645","17.101","17.101","328.35M","2.74%"
"06/25/2023","16.631","17.101","16.631","16.631","235.86M","-2.75%"
"06/26/2023","16.96","16.631","16.96","16.96","212.89M","1.98%"
"06/27/2023","16.284","16.96","16.284","16.284","246.63M","-3.99%"
"06/28/2023","16.604","16.284","16.604","16.604","232.33M","1.97%"
"06/29/2023","15.996","16.604","15.996","15.996","301.7M","-3.66%"
"06/30/2023","17.998","15.996","17.998","17.998","635.9M","12.52%"
"07/01/2023","18.93","17.998","18.93","18.93","828.67M","5.18%"
"07/02/2023","18.613","18.93","18.613","18.613","280.72M","-1.68%"
"07/03/2023","19.447","18.613","19.447","19.447","474.85M","4.48%"
"07/04/2023","19.205","19.447","19.205","19.205","280.77M","-1.24%"
"07/05/2023","19.219","19.205","19.219","19.219","303.07M","0.07%"
"07/06/2023","18.972","19.219","18.972","18.972","234.9M","-1.28%"
"07/07/2023","19.919","18.972","19.919","19.919","849.1M","4.99%"
"07/08/2023","21.439","19.919","21.439","21.439","827.54M","7.63%"
"07/09/2023","21.897","21.439","21.897","21.897","596.48M","2.14%"
