day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
116,31.268,53828.652550435756,1683114.3079470252,48326,0,0,50051,1.323361063450548,766361.0,1014172.3079470254,1,668942.0,668942.0,1683114.3079470254,0.0,2.7408636782386995
117,32.356,54958.14494279155,1778225.7377689634,0,10484,33598,0,1.399781411008519,799959.0,1119767.737768964,1,658458.0,658458.0,1778225.737768964,0.0,2.603633621333239
118,36.709,53164.51756821355,1951616.2754115514,0,33053,0,19301,1.6988377438155395,780658.0,1326211.2754115514,1,625405.0,625405.0,1951616.2754115514,0.0,3.0639137844857762
119,34.276,53948.462140818716,1849137.4883387026,16695,0,6637,0,1.533145121382331,787295.0,1207037.4883387024,1,642100.0,642100.0,1849137.4883387024,0.0,2.9137391037297236
120,33.169,52579.88864925507,1744022.3266071412,0,7426,0,26054,1.4572892508510986,761241.0,1109348.3266071412,1,634674.0,634674.0,1744022.3266071412,0.0,2.7868190947653257
121,33.96,51163.752425484454,1737521.032369452,0,6570,0,27463,1.511924631658965,733778.0,1109417.032369452,1,628104.0,628104.0,1737521.032369452,0.0,2.8134333823800914
122,35.706,50679.15917728999,1809550.0575843167,15756,0,0,20236,1.6336670547554548,713542.0,1165690.0575843167,1,643860.0,643860.0,1809550.0575843167,0.0,2.9085198376452754
123,37.408,49102.235025342394,1836816.4078280083,0,43346,0,8916,1.7545512198357829,704626.0,1236302.4078280083,1,600514.0,600514.0,1836816.4078280083,0.0,2.944438210952791
124,39.497,46837.57433213507,1849943.6733963387,0,29772,0,31406,1.9001242883401246,673220.0,1279201.6733963387,1,570742.0,570742.0,1849943.6733963387,0.0,3.2295516454170072
125,39.426,49025.54024463405,1932880.9496849421,37005,0,25991,0,1.8951846433836743,699211.0,1325133.9496849424,1,607747.0,607747.0,1932880.9496849424,0.0,3.2354692761681414
126,37.668,49999.96815673361,1883398.8005278416,39655,0,0,1665,1.7719215657861154,697546.0,1235996.8005278416,1,647402.0,647402.0,1883398.8005278416,0.0,3.038590153361309
127,38.722,51414.116511153166,1990857.419544873,16867,0,20510,0,1.84747209067938,718056.0,1326588.4195448728,1,664269.0,664269.0,1990857.4195448728,0.0,2.990566552103699
128,40.596,50460.662060300936,2048501.0369999767,23355,0,0,31318,1.9816539014878696,686738.0,1360877.0369999765,1,687624.0,687624.0,2048501.0369999765,0.0,3.1421118159763193
129,41.792,50177.43604775871,2097015.4073079322,0,17623,2796,0,2.069534507809524,689534.0,1427014.4073079324,1,670001.0,670001.0,2097015.4073079324,0.0,3.066867923202356
